,tags,score
0,안정적인 장수 회사,5
1,성장판 열린 회사,3
2,구직자 인기기업,5
3,채용에 적극적인 회사,3
4,복지의 끝판왕,1
5,매출 1조 클럽,5
6,매출 상위 10%,5
7,HOT한 인기기업,5
8,아침을 왜 굶어요?,1
9,평균연봉 6천이상,3
10,신입연봉이 4천이상,3
11,"스타트업 초봉 3,500만원↗",3
12,지방에 위치한 대기업,5
13,자기계발비 지원 기업,1
14,보너스로 행복해요♥,1
15,내 출퇴근은 내 맘대로,1
16,아낌없이 주는 커피,1
17,아이와 함께 출근해요,1
18,잘나가는 의료·바이오기업,5
19,주 4일 근무,3
20,집 걱정 안 하기,3
21,거침없이 성장하는 회사,3
22,매출 1000대 기업,5
23,인크루트 인증 우수기업,3
24,대기업 in 서울,5
25,공기업 in 서울,5
26,장기근속수당제공 기업,3
27,육아휴직 제공 기업,1
28,KOSPI 상장,5
29,KOSDAQ 상장,5
30,빵빵한 구내식당,1
31,휴식까지 챙겨줘요!,1
32,KONEX 상장,3
